family,id,category,label,name,desc_short,image,корректная_метка
20,3958,БАД,0,NOW Л-Лизин L-Lysine 500 мг 100 капсул,"L-лизин — незаменимая аминокислота, которую необходимо получать с пищей или с добавками. Лизин необходим для выработки всех белков в организме, а также для поддержания структурных белков коллагена и эластина, которые образуют всю соединительную ткань, такую как кожа, сухожилия и кости.<br/><br/>L-ли",images/3958/0.jpg,1
20,28,БАД,1,NOW Л-Лизин L-Lysine 500 мг 100 капсул,"L-лизин — незаменимая аминокислота, которую необходимо получать с пищей или с добавками. Лизин необходим для выработки всех белков в организме, а также для поддержания структурных белков коллагена и эластина, которые образуют всю соединительную ткань, такую как кожа, сухожилия и кости.<br/><br/>L-ли",images/28/0.jpg,1
91,3873,БАД,0,Корейские капсулы для похудения 30 SLIMMING,"Капсулы для похудения 30 SLIMMING <br/><br/>- Комплексное действие: ускоряет метаболизм, снижает аппетит и блокирует тягу к сладкому, способствуя быстрому избавлению от лишнего веса.<br/><br/>- Уникальная формула: сочетание экстрактов гарцинии, перца и колеуса с L-карнитином усиливает расход энергии",images/3873/0.jpg,0
91,11978,БАД,0,Эффективный Корейский препарат для похудения 30 SLIMMING,"<p>Эффективный Корейский препарат для похудения 30 SLIMMING</p><p>Компактная упаковка с 60 капсулами обеспечивает удобство хранения и ежедневную поддержку в стремлении к стройности. Препарат сочетает L-карнитин, яблочный уксус и гарцинию камбоджийскую для усиленного сжигания жира, нормализации метаб",images/11978/0.jpg,0
91,132,БАД,1,30 День и Ночь Капсулы для похудения,"Новинка из Ююжной Кореи! -15 кг за месяц! 30 день/ночь для похудения и контроля аппетита от спортсменки до домохозяйки. 30 день ночь - это лучшая биологически активная добавка для похудения с доказанным эффектом, которая произведена в южной Корее. 60 штук светлых дневных капсул + 60 штук красных веч",images/132/0.jpg,0
91,231,БАД,1,30 День и Ночь Капсулы для похудения,"Новинка из Ююжной Кореи! -15 кг за месяц! 30 день/ночь для похудения и контроля аппетита от спортсменки до домохозяйки. 30 день ночь - это лучшая биологически активная добавка для похудения с доказанным эффектом, которая произведена в южной Корее. 60 штук светлых дневных капсул + 60 штук красных веч",images/231/0.jpg,0
91,953,БАД,1,Капсулы для похудения День и Ночь,"<p>Новинка из Ююжной Кореи! -15 кг за месяц! 30 день/ночь для похудения и контроля аппетита от спортсменки до домохозяйки. 30 день ночь - это лучшая биологически активная добавка для похудения с доказанным эффектом, которая произведена в южной Корее. 30 штук светлых дневных капсул + 30 штук красных ",images/953/0.jpg,0
91,1053,БАД,1,Капсулы для похудения День и Ночь,"Новинка из Ююжной Кореи! -15 кг за месяц! 30 день/ночь для похудения и контроля аппетита от спортсменки до домохозяйки. 30 день ночь - это лучшая биологически активная добавка для похудения с доказанным эффектом, которая произведена в южной Корее. 60 штук светлых дневных капсул + 60 штук красных веч",images/1053/0.jpg,0
91,1188,БАД,1,Капсулы для похудения День и Ночь,"Новинка из Ююжной Кореи! -15 кг за месяц! 30 день/ночь для похудения и контроля аппетита от спортсменки до домохозяйки. 30 день ночь - это лучшая биологически активная добавка для похудения с доказанным эффектом, которая произведена в южной Корее. 60 штук светлых дневных капсул + 60 штук красных веч",images/1188/0.jpg,0
91,1399,БАД,1,Капсулы для похудения День и Ночь,"Новинка из Ююжной Кореи! -15 кг за месяц! 30 день/ночь для похудения и контроля аппетита от спортсменки до домохозяйки. 30 день ночь - это лучшая биологически активная добавка для похудения с доказанным эффектом, которая произведена в южной Корее. 60 штук светлых дневных капсул + 60 штук красных веч",images/1399/0.jpg,0
